Fiscal Year,Area,Subsidiary,Product,Reported Subsegment,Forecast Planning Level,1,2,3,4,5,6,7,8,9,10,11,12,,,,
FY19,WE,Austria,IW CAL Suites - Core CAL,EPG Commercial,EA Recurring,196693.3711,6634.766,165.9008,172552.0132,13353.6,118375.2889,299732.705,21034.766,124249.4464,109138.734,179783.7919,84222.0921,,,,
FY19,WE,Austria,IW CAL Suites - ECAL,EPG Commercial,EA Recurring,6512.944,,,51834.0096,,1018.0342,327461.2973,,-13683.0736,162707.7669,,120352.5509,,,,
FY19,WE,Austria,Lync Server & CAL,EPG Commercial,EA Recurring,13006.82,,,25137.632,,1043.5694,79723.7634,,758.24,27622.8068,1880.7746,5790.5215,,,,
FY19,WE,Austria,MDOP-Client,EPG Commercial,EA Recurring,2583.1271,1089.9277,,9535.5389,,4528.9778,5227.1345,369.9277,899.8556,3687.6708,5348.3519,4365.281,,,,
FY19,WE,Austria,Office,EPG Commercial,EA Recurring,609975.0256,24250.09,,591097.5376,44585.91,366996.2045,607437.982,24250.09,211781.88,642293.0917,486647.668,438021.4666,,,,
FY19,WE,Austria,Office 365,EPG Commercial,EA Recurring,,1620514.382,,,,,,,,,,,,,,
FY19,WE,Austria,OSD Subs & Trans OSD SMSG,EPG Commercial,EA Recurring,208.37,,,,,688.3858,,,,,,,,,,
FY19,WE,Austria,Other IW Apps,EPG Commercial,EA Recurring,,,,,,,,,,1731.0918,,,,,,
FY19,WE,Austria,Other Server,EPG Commercial,EA Recurring,,,,,,70.7278,,,,,,,,,,
FY19,WE,Austria,Project,EPG Commercial,EA Recurring,79262.8932,154.34,607.86,82814.594,2400.5,67233.7975,69530.656,154.34,12115.08,34505.9109,16697.5,41866.8873,,,,
FY19,WE,Austria,S&T CAL Suites - Core CAL,EPG Commercial,EA Recurring,110640.0214,3731.7276,93.3192,97087.5215,7511.4,66584.2179,168603.939,11831.7276,69890.3136,61387.2896,101128.3829,47383.1012,,,,
FY19,WE,Austria,S&T CAL Suites - ECAL,EPG Commercial,EA Recurring,3107.0262,,,24720.0406,,361.0422,156139.334,,-6516.3264,77594.2633,,57394.5334,,,,
FY19,WE,Austria,SharePoint CAL,EPG Commercial,EA Recurring,31745.144,,1721.34,9020,,18771.8344,69142.87,,711.48,9020,,,,,,
FY19,WE,Austria,SharePoint for Internet Sites,EPG Commercial,EA Recurring,,,,2005.384,,2203.5108,270.1203,,,2005.384,680.5247,3180.8961,,,,
FY19,WE,Austria,SharePoint Server,EPG Commercial,EA Recurring,9447.894,457.86,44.36,6010.146,,2711.7977,27705.1567,4688,125.34,4475.7294,2308.0491,8052.9795,,,,
FY19,WE,Austria,SQL Server Premium,EPG Commercial,EA Recurring,17402.3619,,403.43,36910.536,1457.94,31082.0296,177051.836,4986.8,9593.52,63028.4546,68786.1995,19247.3653,,,,
FY19,WE,Austria,SQL Server Standard & CAL,EPG Commercial,EA Recurring,30400.194,8347.32,596.4,145734.796,12183.09,35347.0988,295990.2187,23380.58,16191.24,114745.1133,88349.8368,100927.5474,,,,
FY19,WE,Austria,System Center Client,EPG Commercial,EA Recurring,24808.8535,4360.088,985.12,47924.8417,,29912.0029,39447.2432,3065.648,3930.5998,24477.2506,21683.3622,17704.2237,,,,
FY19,WE,Austria,System Center Server,EPG Commercial,EA Recurring,17305.95,2566.28,270.38,41340.562,,7334.0271,80658.9077,2814.93,16526.5166,36354.5859,18485.747,31679.5495,,,,
FY19,WE,Austria,Visio,EPG Commercial,EA Recurring,21180.8495,327,108.6,34101.268,3161.9,28879.7187,18453.336,327,2724.36,9749.736,9649.3,33565.7118,,,,
FY19,WE,Austria,Windows Client,EPG Commercial,EA Recurring,267598.8172,10813.2407,,301593.0934,,153833.9968,204589.2081,10813.2407,31243.29,214126.5212,275379.7279,210890.2465,,,,
FY19,WE,Austria,Windows Server & Solutions & CAL,EPG Commercial,EA Recurring,79247.682,2224.8,1380.88,67858.222,16436.52,40853.0422,228778.43,10323.02,5443.8,107329.1169,84153.0209,22150.6847,,,,
FY19,WE,Austria,Windows Server Other,EPG Commercial,EA Recurring,63686.612,3288,,2763.5,,21621.2743,109167.7563,3288,22704,5792.75,7782.5,12042.225,,,,
FY19,WE,Austria,Windows Server Premium,EPG Commercial,EA Recurring,38446.838,11405.36,336.15,58325.188,13600,27098.4225,224742.8262,12417.43,27931.638,73623.1142,104519.8502,42827.2562,,,,
FY19,WE,Austria,Biztalk Server,EPG Commercial,EA Renewal,15490.8809,,,9464.664,,,15425.232,,34683.09,12048.864,,81309.696,,,,
FY19,WE,Austria,Developer Tools,EPG Commercial,EA Renewal,131644.6821,,,4180.838,,17691.44,54689.686,509.36,46766.86,55385.918,,90600.932,,,,
FY19,WE,Austria,Dynamics CRM,EPG Commercial,EA Renewal,5580.9,,,,,68421.72,1038.9,,-33261.56,,,35160.16,,,,
FY19,WE,Austria,Exchange Server & CAL,EPG Commercial,EA Renewal,32191.2625,,305.264,3157.766,253.95,6868.51,6982.19,1499.9595,9064.9,31705.416,,79069.212,,,,
FY19,WE,Austria,Forefront Protection,EPG Commercial,EA Renewal,13137.6,,,,,,,,,,,,,,,
FY19,WE,Austria,Identity & Direct Access,EPG Commercial,EA Renewal,17153.3522,,141.112,1443.62,23.58,4294.89,6493.632,,16017.99,11729.176,,30096.156,,,,
FY19,WE,Austria,IW CAL Suites - Core CAL,EPG Commercial,EA Renewal,255435.5673,,,23207.9821,3395.3868,64655.3984,69873.2423,917.018,160214.2592,49966.9043,,970299.3216,,,,
FY19,WE,Austria,IW CAL Suites - ECAL,EPG Commercial,EA Renewal,446450.1751,,2070.5177,5107.3835,,1381.5559,84857.272,28326.2445,148206.3864,5107.3835,,18407.3935,,,,
FY19,WE,Austria,Lync Server & CAL,EPG Commercial,EA Renewal,159245.9753,,,67.32,,149.12,1530.714,,46490.08,30846.48,,85945.022,,,,
FY19,WE,Austria,MDOP-Client,EPG Commercial,EA Renewal,12023.9547,,,700.8217,89.7529,2340.0583,1534.4867,,-216.0091,2417.7746,,2119.2167,,,,
